"Network","ID","Name","Brand","Company","Users"
"facebook","23842675281220277","Lookalike (US, 1% to 2%) - Frappuccino_Lasy90Days_EDW_06-22-2017","Adobe Flash","Adobe Systems Incorporated","2100000"
"facebook","6072675182806","Lookalike (US, 1% to 2%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","6065280485006","Lookalike (US, 1%) - Add To Cart - Last 180 Days","Unknown Brand","Unknown Company","2100000"
"facebook","6057479168406","Lookalike (US, 1%) - Add To Cart - Last 30 Days","Unknown Brand","Unknown Company","2100000"
"facebook","6060803491206","Lookalike (US, 1%) - Animals Episode 1 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6061046191006","Lookalike (US, 1%) - Animals Episode 2 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6061514117806","Lookalike (US, 1%) - Animals Episode 3 Video Viewers","Unknown Brand","Unknown Company","2000000"
"facebook","6061903235206","Lookalike (US, 1%) - Animals Episode 4 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6062583326606","Lookalike (US, 1%) - Animals Episode 5 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6063019826806","Lookalike (US, 1%) - Animals Episode 6 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6064359119606","Lookalike (US, 1%) - Animals Episode 7 Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","23842547562790277","Lookalike (US, 1%) - App Downloaders","Unknown Brand","Unknown Company","2000000"
"facebook","6063457253406","Lookalike (US, 1%) - Barista's Special Crafted Drinks Video Viewers","Unknown Brand","Unknown Company","1800000"
"facebook","6054500709206","Lookalike (US, 1%) - Conversions of ad campaign 6053566005806,6052872541806,6054418665806,6053827305606","Unknown Brand","Unknown Company","2100000"
"facebook","6061896262006","Lookalike (US, 1%) - Food Bank Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","23842675281200277","Lookalike (US, 1%) - Frappuccino_Lasy90Days_EDW_06-22-2017","Unknown Brand","Unknown Company","2100000"
"facebook","6059383333406","Lookalike (US, 1%) - Greater Than 2 Purchases In The Last Two Months","Unknown Brand","Unknown Company","2100000"
"facebook","6061898315806","Lookalike (US, 1%) - Heartsong Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6059383075206","Lookalike (US, 1%) - High Valued Purchasers","Unknown Brand","Unknown Company","1900000"
"facebook","6061896156206","Lookalike (US, 1%) - Incarceration Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6061896013806","Lookalike (US, 1%) - Instagram Trailer Video Viewers","Unknown Brand","Unknown Company","1100000"
"facebook","6061896183206","Lookalike (US, 1%) - Maria Rose - Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6062011885606","Lookalike (US, 1%) - New Barista Craft Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6062011891606","Lookalike (US, 1%) - New Holiday Share Event/Red Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","23842565175220047","Lookalike (US, 1%) - People who like Acura","set4_test","Toyota Motor Corp","2000000"
"facebook","23842565160530047","Lookalike (US, 1%) - People who like Honda Financial Services","Unknown Brand","Unknown Company","2000000"
"facebook","23842549404430653","Lookalike (US, 1%) - People who like Seattle's Best Coffee","Unknown Brand","Unknown Company","2100000"
"facebook","23842688235880454","Lookalike (US, 1%) - People who like Starbucks","Unknown Brand","Unknown Company","2000000"
"facebook","6065035644206","Lookalike (US, 1%) - People who like Starbucks","Unknown Brand","Unknown Company","2000000"
"facebook","23842572901480454","Lookalike (US, 1%) - People who like Starbucks Frappuccino","Unknown Brand","Unknown Company","2000000"
"facebook","6060272213406","Lookalike (US, 1%) - PrimaryBevFrappuccino_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","2100000"
"facebook","6060272228606","Lookalike (US, 1%) - PrimaryBevLatte_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","2100000"
"facebook","6068740344329","Lookalike (US, 1%) - Prius WCA 180 Days","Unknown Brand","Unknown Company","2100000"
"facebook","6057479219206","Lookalike (US, 1%) - Purchasers - Last 180 Days","Unknown Brand","Unknown Company","1500000"
"facebook","6059380284806","Lookalike (US, 1%) - Seattle's Best Coffee Page Engagers","Unknown Brand","Unknown Company","2100000"
"facebook","6059575226006","Lookalike (US, 1%) - Starbuck Frappuccino Post Engagers","Unknown Brand","Unknown Company","2100000"
"facebook","6059575199006","Lookalike (US, 1%) - Starbucks Frappuccino Page Engagers","Unknown Brand","Unknown Company","2100000"
"facebook","6059376244006","Lookalike (US, 1%) - Starbucks Page Engagers","Unknown Brand","Unknown Company","2000000"
"facebook","6059633118406","Lookalike (US, 1%) - Starbucks Post Engagers","Unknown Brand","Unknown Company","2000000"
"facebook","6065280976806","Lookalike (US, 1%) - Starbucks Store - Last 180 Days","Unknown Brand","Unknown Company","2100000"
"facebook","6057479305206","Lookalike (US, 1%) - Starbucks Store - Last 30 Days","Unknown Brand","Unknown Company","2100000"
"facebook","6063805695606","Lookalike (US, 1%) - Starbucks.com/Food WCA","Unknown Brand","Unknown Company","2000000"
"facebook","23842665319960454","Lookalike (US, 1%) - StarbucksChannel.comVisitors_Pixel_10/10/17","Unknown Brand","Unknown Company","2100000"
"facebook","23842700388670454","Lookalike (US, 1%) - Summer Game Post Engager","Unknown Brand","Unknown Company","2100000"
"facebook","6061896042806","Lookalike (US, 1%) - Upstanders Trailer Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6061896135406","Lookalike (US, 1%) - Vobora/Veteran Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","6060272242406","Lookalike (US, 1%) - WeeklyEspresso1+_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","2100000"
"facebook","6060272206006","Lookalike (US, 1%) - WeeklyFrapp1+_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","2100000"
"facebook","6062008992406","Lookalike (US, 1%) - Year Of Good Video Viewers","Unknown Brand","Unknown Company","2100000"
"facebook","23842691453880454","Lookalike (US, 1%) - iOS+Android_2BevsAfter2PM-Active_SDK_10-23-2017","Unknown Brand","Unknown Company","2100000"
"facebook","23842691453900454","Lookalike (US, 1%) - iOS+Android_2BevsAfter2PM-Lapsed_SDK_10_23_17","Unknown Brand","Unknown Company","2100000"
"facebook","6072675182406","Lookalike (US, 1%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","23842691453940454","Lookalike (US, 1%) - iOS+Android_CoffeeTravelers_SDK_10-23-2017","Unknown Brand","Unknown Company","2100000"
"facebook","23842677797740454","Lookalike (US, 1%) - iOS+Android_EveningsFood+Alcohol_EDW_10-20-2017","Unknown Brand","Unknown Company","2100000"
"facebook","23842682255240454","Lookalike (US, 1%) - iOS+Android_Food+BakeryPurchasers_EDW_10-26-2017","Unknown Brand","Unknown Company","2100000"
"facebook","23842575931780277","Lookalike (US, 1%) - iOS+Android_FrappuccinoPurchasers_LRv2_3/16/17","Unknown Brand","Unknown Company","2100000"
"facebook","23842677797640454","Lookalike (US, 1%) - iOS+Android_MercatoPurchasers_SDK_10_13_17","Unknown Brand","Unknown Company","2100000"
"facebook","23842677807580454","Lookalike (US, 1%) - iOS+Android_SousVideEgg_EDW_10-20-2017","Unknown Brand","Unknown Company","2100000"
"facebook","23842592726090454","Lookalike (US, 1%) - iOS_ColdBrewPurchasers_DWB_4/5/17","Unknown Brand","Unknown Company","2100000"
"facebook","6072675183206","Lookalike (US, 2% to 3%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1400000"
"facebook","23842576226150454","Lookalike (US, 2%) - People who like Starbucks Frappuccino","Unknown Brand","Unknown Company","4100000"
"facebook","6059380307006","Lookalike (US, 2%) - Seattle's Best Coffee Page Engagers","Unknown Brand","Unknown Company","4100000"
"facebook","23842672156810454","Lookalike (US, 2%) - Starbucks Gift Card Website Custom Audience","Unknown Brand","Unknown Company","4200000"
"facebook","23842675493630454","Lookalike (US, 2%) - Starbucks Visitors - Last 180 Days","Unknown Brand","Unknown Company","4100000"
"facebook","23842581830580277","Lookalike (US, 2%) - iOS+Android_FrappuccinoPurchasers_LRv2_3/16/17","Unknown Brand","Unknown Company","3700000"
"facebook","23842682112290277","Lookalike (US, 2%) - iOS+Android_PrimaryBevLatte_LRv2_3/22/17","Unknown Brand","Unknown Company","4000000"
"facebook","6072675183406","Lookalike (US, 3% to 4%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","6064682349406","Lookalike (US, 3%) - High Valued Purchasers","Unknown Brand","Unknown Company","1000"
"facebook","6064606828206","Lookalike (US, 3%) - PrimaryBevLatte_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","6300000"
"facebook","6064606310606","Lookalike (US, 3%) - Starbucks Page Engagers","Unknown Brand","Unknown Company","5800000"
"facebook","6064606822606","Lookalike (US, 3%) - WeeklyEspresso1+_Past90_EDW_12-05-16","Unknown Brand","Unknown Company","6300000"
"facebook","6072675183006","Lookalike (US, 4% to 5%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","1500000"
"facebook","23842595880000454","Lookalike (US, 5% to 10%) - Starbucks Visitors - Last 180 Days","Unknown Brand","Unknown Company","10000000"
"facebook","6073160491806","Lookalike (US, 5% to 10%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","7200000"
"facebook","23842595879980454","Lookalike (US, 5%) - Starbucks Visitors - Last 180 Days","Unknown Brand","Unknown Company","10000000"
"facebook","6073160491606","Lookalike (US, 5%) - iOS+Android_All Members_LRV2+SDK_6-5-17","Unknown Brand","Unknown Company","7300000"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"facebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"tacebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
"macebook","","Unknown Audience","Unknown Brand","Unknown Company","0"
